"nazev","adresa"
"Základní škola a Mateřská škola Hostašovice, příspěvková organizace","31 , Hostašovice 741 01"
"Základní škola Adolfa Zábranského Rybí, příspěvková organizace","110 , Rybí 742 65"
"Základní škola a Mateřská škola Hladké Životice, příspěvková organizace","Hlavní 188 , Hladké Životice 742 47"
"Základní škola a mateřská škola Olbramice, příspěvková organizace","Hlavní 25 , Olbramice 742 83"
"Základní škola Kopřivnice - Lubina okres Nový Jičín, příspěvková organizace","60 , Kopřivnice 742 21"
"Základní škola a Mateřská škola Závišice, příspěvková organizace","110 , Závišice 742 21"
"Základní škola a Mateřská škola Jakubčovice nad Odrou okres Nový Jičín, příspěvková organizace","Školní 64 , Jakubčovice nad Odrou 742 36"
"Základní škola a Mateřská škola Mankovice, příspěvková organizace","140 , Mankovice 742 35"
"Základní škola a mateřská škola Vražné, okres Nový Jičín","157 , Vražné 742 35"
"Základní škola a Mateřská škola Mošnov, příspěvková organizace","255 , Mošnov 742 51"
"Základní škola a Mateřská škola Albrechtičky, příspěvková organizace","71 , Albrechtičky 742 55"
"Základní škola a mateřská škola Tichá, příspěvková organizace","282 , Tichá 742 74"
"Jubilejní základní škola prezidenta Masaryka a Mateřská škola Trojanovice, okres Nový Jičín, příspěvková organizace","362 , Trojanovice 744 01"
"Základní škola a Mateřská škola Vřesina, okres Ostrava - město, příspěvková organizace","Osvobození 514 , Vřesina 742 85"
"Základní škola a Mateřská škola Kunín, okres Nový Jičín, příspěvková organizace","346 , Kunín 742 53"
"Základní škola a Mateřská škola Nový Jičín, Jubilejní 3, příspěvková organizace","Jubilejní 484 , Nový Jičín 741 01"
"Základní škola Nový Jičín, Komenského 68, příspěvková organizace","Komenského 1118 , Nový Jičín 741 01"
"Základní škola Nový Jičín, Tyršova 1, příspěvková organizace","Tyršova 144 , Nový Jičín 741 01"
"Základní škola a Mateřská škola Frenštát pod Radhoštěm, Tyršova 913, okres Nový Jičín","Tyršova 913 , Frenštát pod Radhoštěm 744 01"
"Základní škola T. G. Masaryka Fulnek, příspěvková organizace","Masarykova 426 , Fulnek 742 45"
"Základní škola Emila Zátopka Kopřivnice, Pionýrská 791 okres Nový Jičín","Pionýrská 791 , Kopřivnice 742 21"
"Základní škola a Mateřská škola Mořkov okres Nový Jičín, příspěvková organizace","Sportovní 258 , Mořkov 742 72"
"Základní škola Příbor, Jičínská 486, okres Nový Jičín","Jičínská 486 , Příbor 742 58"
"Základní škola a mateřská škola Suchdol nad Odrou, příspěvková organizace","Komenského 323 , Suchdol nad Odrou 742 01"
"Základní škola a Mateřská škola Veřovice, příspěvková organizace","276 , Veřovice 742 73"
"Základní škola a mateřská škola obce Zbyslavice, příspěvková organizace","Hlavní 103 , Zbyslavice 742 83"
"Základní škola Kopřivnice, Alšova 1123 okres Nový Jičín","Alšova 1123 , Kopřivnice 742 21"
"Základní škola Odry, Pohořská 8, příspěvková organizace","Pohořská 1010 , Odry 742 35"
"Základní škola Studénka, Butovická 346, příspěvková organizace","Butovická 346 , Studénka 742 13"
"Základní škola a Mateřská škola Štramberk","Zauličí 485 , Štramberk 742 66"
"Základní škola Nový Jičín, Komenského 66, příspěvková organizace","Komenského 571 , Nový Jičín 741 01"
"Základní škola Kopřivnice - Mniší okres Nový Jičín, příspěvková organizace","66 , Kopřivnice 742 21"
"Základní škola a Mateřská škola Slatina, okres Nový Jičín, příspěvková organizace","34 , Slatina 742 93"
"Základní škola a Mateřská škola Jeseník nad Odrou okres Nový Jičín, příspěvková organizace","58 , Jeseník nad Odrou 742 33"
"Základní škola a mateřská škola Pustějov, příspěvková organizace","171 , Pustějov 742 43"
"Základní škola a Mateřská škola Tísek, příspěvková organizace","58 , Tísek 743 01"
"Základní škola a Mateřská škola Sedlnice","253 , Sedlnice 742 56"
"Základní škola a Mateřská škola Šenov u Nového Jičína, příspěvková organizace","Školní 20 , Šenov u Nového Jičína 742 42"
"Základní škola Bartošovice okres Nový Jičín, příspěvková organizace","147 , Bartošovice 742 54"
"Základní škola a Mateřská škola T. G. Masaryka Bílovec, Ostravská 658/28, příspěvková organizace","Ostravská 658 , Bílovec 743 01"
"Základní škola a Mateřská škola Bílovec, Komenského 701/3, příspěvková organizace","Komenského 701 , Bílovec 743 01"
"Základní škola a Mateřská škola Frenštát pod Radhoštěm, Záhuní 408, okres Nový Jičín","Záhuní 408 , Frenštát pod Radhoštěm 744 01"
"Základní škola J. A. Komenského Fulnek, Česká 339, příspěvková organizace","Česká 339 , Fulnek 742 45"
"Základní škola a Mateřská škola Františka Palackého Hodslavice, příspěvková organizace","300 , Hodslavice 742 71"
"Základní škola T. G. Masaryka Jistebník okres Nový Jičín, příspěvková organizace","315 , Jistebník 742 82"
"Základní škola dr. Milady Horákové Kopřivnice, Obránců míru 369 okres Nový Jičín","Obránců míru 369 , Kopřivnice 742 21"
"Základní škola a Mateřská škola Lichnov, okres Nový Jičín, příspěvková organizace","360 , Lichnov 742 75"
"Základní škola Odry, Komenského 6, příspěvková organizace","Komenského 609 , Odry 742 35"
"Základní škola a Mateřská škola Petřvald okres Nový Jičín, příspěvková organizace","372 , Petřvald 742 60"
"Základní škola a Mateřská škola Spálov, příspěvková organizace","1 , Spálov 742 37"
"Základní škola Františka kardinála Tomáška Studénka, příspěvková organizace","2. května 500 , Studénka 742 13"
"Základní škola Studénka, Sjednocení 650, příspěvková organizace","Sjednocení 650 , Studénka 742 13"
"Základní škola Heřmanice u Oder okres Nový Jičín, příspěvková organizace","47 , Heřmanice u Oder 742 35"
"Základní škola Starý Jičín, příspěvková organizace","126 , Starý Jičín 742 31"
"Základní škola a Mateřská škola Bravantice příspěvková organizace","144 , Bravantice 742 81"
"Základní škola a Mateřská škola Velké Albrechtice, příspěvková organizace","116 , Velké Albrechtice 742 91"
"Základní škola a Mateřská škola Kujavy, okres Nový Jičín, příspěvková organizace","86 , Kujavy 742 45"
"Základní škola Trnávka okres Nový Jičín, příspěvková organizace","89 , Trnávka 742 58"
"Základní škola Klimkovice, příspěvková organizace","Vřesinská 22 , Klimkovice 742 83"
"Základní škola Npor. Loma Příbor Školní 1510 okres Nový Jičín, příspěvková organizace","Školní 1510 , Příbor 742 58"
"Základní škola a Mateřská škola Životice u Nového Jičína, příspěvková organizace","149 , Životice u Nového Jičína 742 72"
"Základní škola a Mateřská škola Ženklava příspěvková organizace","204 , Ženklava 742 67"
"Základní škola a Mateřská škola Jívová, okres Olomouc, příspěvková organizace","20 , Jívová 783 16"
"Základní škola Litovel, Vítězná 1250, okres Olomouc","Vítězná 1250 , Litovel 784 01"
"Základní škola Uničov, Haškova 211, okres Olomouc","Haškova 211 , Uničov 783 91"
"Základní škola Milady Petřkové Velký Týnec","Příčná 326 , Velký Týnec 783 72"
"Základní škola Olomouc, Heyrovského 33, příspěvková organizace","Heyrovského 460 , Olomouc 779 00"
"Základní škola Olomouc, Zeyerova 28, příspěvková organizace","Zeyerova 970 , Olomouc 779 00"
"Základní škola Olomouc, Stupkova 16, příspěvková organizace","Stupkova 953 , Olomouc 779 00"
"Základní škola Olomouc, tř. Spojenců 8, příspěvková organizace","tř. Spojenců 702 , Olomouc 779 00"
"Masarykova základní škola a mateřská škola Velká Bystřice","8. května 67 , Velká Bystřice 783 53"
"Fakultní základní škola Olomouc, Hálkova 4, příspěvková organizace","Hálkova 335 , Olomouc 779 00"
"Základní škola a Mateřská škola Olomouc - Holice, Náves Svobody 41, příspěvková organizace","Náves Svobody 218 , Olomouc 779 00"
"Základní škola Olomouc, Mozartova 48, příspěvková organizace","Mozartova 252 , Olomouc 779 00"
"Fakultní základní škola Olomouc, Tererovo nám. 1, příspěvková organizace","Tererovo nám. 919 , Olomouc 779 00"
"Základní škola a Mateřská škola Olomouc, Demlova 18, příspěvková organizace","Demlova 518 , Olomouc 779 00"
"Základní škola a Mateřská škola Olomouc, Nedvědova 17, příspěvková organizace","Nedvědova 366 , Olomouc 779 00"
"Základní škola a Mateřská škola Náměšť na Hané, okres Olomouc","Komenského 283 , Náměšť na Hané 783 44"
"Základní škola a Mateřská škola Olomouc, Řezníčkova 1, příspěvková organizace","Řezníčkova 25 , Olomouc 779 00"
"Základní škola a Mateřská škola Bystročice, příspěvková organizace","65 , Bystročice 779 00"
"Základní škola a Mateřská škola Věrovany, příspěvková organizace","102 , Věrovany 783 75"
"Základní škola a Mateřská škola Červenka, příspěvková organizace","Komenského 31 , Červenka 784 01"
"Základní škola a mateřská škola Nasobůrky","91 , Litovel 783 21"
"Základní škola a mateřská škola Majetín, příspěvková organizace","Školní 126 , Majetín 751 03"
"Základní škola Paseka, okres Olomouc, příspěvková organizace","200 , Paseka 783 97"
"Základní škola Vilémov, okres Olomouc, příspěvková organizace","41 , Vilémov 783 22"
"Základní škola Doloplazy, okres Olomouc, příspěvková organizace","145 , Doloplazy 783 56"
"Základní škola a Mateřská škola Příkazy, příspěvková organizace","22 , Příkazy 783 33"
"Základní škola a Mateřská škola Olomouc - Nemilany, Raisova 1, příspěvková organizace","Raisova 15 , Olomouc 783 01"
"Fakultní základní škola Komenium a Mateřská škola Olomouc, 8. května 29, příspěvková organizace","8. května 501 , Olomouc 779 00"
"Fakultní základní škola a Mateřská škola Olomouc, Holečkova 10, příspěvková organizace","Holečkova 193 , Olomouc 779 00"
"Základní škola a Mateřská škola Olomouc, Svatoplukova 11, příspěvková organizace","Svatoplukova 65 , Olomouc 779 00"
"Základní škola Bílá Lhota, okres Olomouc, příspěvková organizace","56 , Bílá Lhota 783 21"
"Základní škola Hlubočky, okres Olomouc, příspěvková organizace","Olomoucká 116 , Hlubočky 783 61"
"Základní škola a Mateřská škola Pňovice, okres Olomouc","192 , Pňovice 784 01"
"Základní škola Štěpánov, okres Olomouc, příspěvková organizace","Dolní 597 , Štěpánov 783 13"
"Základní škola Dr. Hrubého 2, Šternberk, příspěvková organizace","Dr. Hrubého 319 , Šternberk 785 01"
"Základní škola náměstí Svobody 3, Šternberk, příspěvková organizace","náměstí Svobody 1264 , Šternberk 785 01"
"Základní škola Šumvald, okres Olomouc, příspěvková organizace","204 , Šumvald 783 85"
"Základní škola Troubelice, okres Olomouc, příspěvková organizace","313 , Troubelice 783 83"
"Základní škola a Mateřská škola Medlov, příspěvková organizace","79 , Medlov 783 91"
"Základní škola a Mateřská škola Tršice, příspěvková organizace","183 , Tršice 783 57"
"Základní škola Uničov, U Stadionu 849","U Stadionu 849 , Uničov 783 91"
"Základní škola Uničov, Pionýrů 685","Pionýrů 685 , Uničov 783 91"
"Základní škola a mateřská škola Daskabát, příspěvková organizace","72 , Daskabát 779 00"
"Základní škola Nová Hradečná, okres Olomouc, příspěvková organizace","123 , Nová Hradečná 783 83"
"Fakultní základní škola dr. Milady Horákové a Mateřská škola Olomouc, Rožňavská 21, příspěvková organizace","Rožňavská 728 , Olomouc 779 00"
"Základní škola Olomouc, Gagarinova 19, příspěvková organizace","Gagarinova 1 , Olomouc 779 00"
"Základní škola a Mateřská škola Bohuňovice","Pod lipami 210 , Bohuňovice 783 14"
"Základní škola Litovel, Jungmannova 655, okres Olomouc","Jungmannova 655 , Litovel 784 01"
"Základní škola a Mateřská škola Štarnov, okres Olomouc, příspěvková organizace","52 , Štarnov 783 14"
"Základní škola a Mateřská škola Olomouc, Gorkého 39, příspěvková organizace","Gorkého 96 , Olomouc 779 00"
"Základní škola a Mateřská škola Senice na Hané, příspěvková organizace","Žižkov 300 , Senice na Hané 783 45"
"Základní škola Svatoplukova 7, Šternberk, příspěvková organizace","Svatoplukova 1419 , Šternberk 785 01"
"Základní škola a Mateřská škola Babice, příspěvková organizace","40 , Babice 785 01"
"Základní škola a Mateřská škola Olomouc, Dvorského 33, příspěvková organizace","Dvorského 115 , Olomouc 779 00"
"Základní škola Opava, Šrámkova 4, příspěvková organizace","Šrámkova 1457 , Opava 747 05"
"Základní škola a mateřská škola Hlučín-Bobrovníky, příspěvková organizace","Lesní 174 , Hlučín 748 01"
"Základní škola a mateřská škola Hlučín-Darkovičky, příspěvková organizace","Jandova 7 , Hlučín 748 01"
"Základní škola a Mateřská škola Brumovice, okres Opava, příspěvková organizace","Malá Strana 131 , Brumovice 747 71"
"Základní škola Dolní Lhota, příspěvková organizace","Československých tankistů 76 , Dolní Lhota 747 66"
"Základní škola a Mateřská škola Žimrovice","Meleček 91 , Hradec nad Moravicí 747 41"
"Základní škola Mokré Lazce, okres Opava, příspěvková organizace","Hájová 98 , Mokré Lazce 747 62"
"Základní škola a Mateřská škola Opava-Suché Lazce - příspěvková organizace","Ke Strážnici 109 , Opava 747 95"
"Základní škola a Mateřská škola Opava-Vávrovice - příspěvková organizace","Chmelová 86 , Opava 747 73"
"Základní škola a Mateřská škola Otice - příspěvková organizace","Kylešovská 105 , Otice 747 81"
"Základní škola a Mateřská škola Těškovice, příspěvková organizace","92 , Těškovice 747 64"
"Základní škola a mateřská škola Darkovice, příspěvková organizace","U Kluziště 381 , Darkovice 747 17"
"Základní škola a mateřská škola Kozmice, okres Opava, příspěvková organizace","Poručíka Hoši 59 , Kozmice 747 11"
"Základní škola a mateřská škola Vřesina, okres Opava - příspěvková organizace","21. dubna 98 , Vřesina 747 20"
"Základní škola a Mateřská škola Hněvošice, okres Opava, příspěvková organizace","Lesní 147 , Hněvošice 747 35"
"Základní škola Markvartovice, okres Opava, příspěvková organizace","Šilheřovická 492 , Markvartovice 747 14"
"Základní škola a Mateřská škola Opava-Komárov - příspěvková organizace","U Školy 52 , Opava 747 70"
"Základní škola a Mateřská škola Chlebičov, příspěvková organizace","Školní 105 , Chlebičov 747 31"
"Základní škola Hlučín-Rovniny, okres Opava","Cihelní 1417 , Hlučín 748 01"
"Základní škola a mateřská škola Ludgeřovice, příspěvková organizace","Markvartovická 966 , Ludgeřovice 747 14"
"Základní škola Oldřišov, okres Opava, příspěvková organizace","Sokolovská 11 , Oldřišov 747 33"
"Základní škola Opava-Kylešovice, příspěvková organizace","U Hřiště 1242 , Opava 747 06"
"Základní škola Opava, Edvarda Beneše 2 - příspěvková organizace","Edvarda Beneše 961 , Opava 747 05"
"Základní škola Opava, Mařádkova 15 - příspěvková organizace","Mařádkova 518 , Opava 746 01"
"Základní škola Opava, Vrchní 19 - příspěvková organizace","Vrchní 101 , Opava 747 05"
"Základní škola Opava, Englišova 82 - příspěvková organizace","Englišova 1082 , Opava 746 01"
"Základní škola Opava, Boženy Němcové 2 - příspěvková organizace","Boženy Němcové 1317 , Opava 746 01"
"Základní škola Opava, Otická 18 - příspěvková organizace","Otická 722 , Opava 746 01"
"Základní škola T. G. Masaryka Opava, Riegrova 13 - příspěvková organizace","Riegrova 1385 , Opava 746 01"
"Základní škola a Mateřská škola Raduň, příspěvková organizace","Gudrichova 223 , Raduň 747 61"
"Základní škola a Mateřská škola Slavkov, okres Opava, příspěvková organizace","Slezská 316 , Slavkov 747 57"
"Základní škola a mateřská škola Štěpánkovice, příspěvková organizace","Zahradní 408 , Štěpánkovice 747 28"
"Základní škola generála Heliodora Píky a Mateřská škola Štítina, okres Opava, příspěvková organizace","Komenského 26 , Štítina 747 91"
"Základní škola a Mateřská škola Velké Heraltice, příspěvková organizace","Školní 228 , Velké Heraltice 747 75"
"Základní škola Velké Hoštice, okres Opava, příspěvková organizace","Zámecká 207 , Velké Hoštice 747 31"
"Základní škola a Mateřská škola Opava-Malé Hoštice - příspěvková organizace","Dvořákova 26 , Opava 747 05"
"Základní škola a Mateřská škola Bolatice, příspěvková organizace","Školní 540 , Bolatice 747 23"
"Základní škola Háj ve Slezsku, okres Opava, příspěvková organizace","Školní 90 , Háj ve Slezsku 747 92"
"Základní škola dr. Miroslava Tyrše, Hlučín, Tyršova 2, okres Opava, příspěvková organizace","Tyršova 1062 , Hlučín 748 01"
"Základní škola Kravaře, příspěvková organizace","Komenského 658 , Kravaře 747 21"
"Základní škola a Mateřská škola Pustá Polom, příspěvková organizace","Opavská 39 , Pustá Polom 747 69"
"Základní škola a mateřská škola Šilheřovice, příspěvková organizace","Kostelní 230 , Šilheřovice 747 15"
"Základní škola a gymnázium Vítkov, příspěvková organizace","Komenského 754 , Vítkov 749 01"
"Základní škola a mateřská škola Bohuslavice, příspěvková organizace","Opavská 222 , Bohuslavice 747 19"
"Základní škola Hlučín, Hornická 7, okres Opava, příspěvková organizace","Hornická 1266 , Hlučín 748 01"
"Základní škola a mateřská škola Hať, příspěvková organizace","Na Chromině 600 , Hať 747 16"
"Základní škola a Mateřská škola prof. JUDr. Karla Engliše, Hrabyně, příspěvková organizace","70 , Hrabyně 747 63"
"Základní škola a mateřská škola Bělá, okres Opava, příspěvková organizace","70 , Bělá 747 23"
"Základní škola Litultovice, příspěvková organizace","107 , Litultovice 747 55"
"Základní škola a Mateřská škola Hlavnice, okres Opava, příspěvková organizace","109 , Hlavnice 747 52"
"Základní škola a Mateřská škola Kyjovice, příspěvková organizace","101 , Kyjovice 747 68"
"Základní škola a Mateřská škola Větřkovice, okres Opava, příspěvková organizace","127 , Větřkovice 747 43"
"Základní škola a Mateřská škola Březová, okres Opava, příspěvková organizace","78 , Březová 747 44"
"Základní škola Budišov nad Budišovkou, okres Opava, příspěvková organizace","Halaškovo náměstí 178 , Budišov nad Budišovkou 747 87"
"Základní škola Dolní Benešov, příspěvková organizace","Nádražní 134 , Dolní Benešov 747 22"
"Základní škola a Mateřská škola Chuchelná, příspěvková organizace","Komenského 186 , Chuchelná 747 24"
"Masarykova základní škola a mateřská škola Melč, okres Opava, příspěvková organizace","192 , Melč 747 84"
"Základní škola Mladecko, okres Opava, příspěvková organizace","67 , Mladecko 747 54"
"Základní škola a Mateřská škola Píšť, příspěvková organizace","Školní 530 , Píšť 747 18"
"Základní škola a Mateřská škola Skřipov, okres Opava, příspěvková organizace","120 , Skřipov 747 45"
"Základní škola Stěbořice, okres Opava","150 , Stěbořice 747 51"
"Základní škola a Mateřská škola Sudice, příspěvková organizace","Hlavní 78 , Sudice 747 25"
"Základní škola a Mateřská škola Služovice, okres Opava, příspěvková organizace","134 , Služovice 747 28"
"Základní škola a Mateřská škola Neplachovice, okres Opava, příspěvková organizace","Školní 199 , Neplachovice 747 74"
"Základní škola Hradec nad Moravicí, okres Opava, příspěvková organizace","Opavská 217 , Hradec nad Moravicí 747 41"
"Základní škola a mateřská škola Kobeřice, okres Opava, příspěvková organizace","Školní 568 , Kobeřice 747 27"
"Základní škola Děhylov, okres Opava, příspěvková organizace","Porubská 66 , Děhylov 747 94"
"Základní škola a Mateřská škola Branka u Opavy, příspěvková organizace","Školní 58 , Branka u Opavy 747 41"
"Základní škola a Mateřská škola Strahovice, příspěvková organizace","125 , Strahovice 747 24"
"Základní škola a Mateřská škola Dolní Životice, příspěvková organizace","Hlavní 15 , Dolní Životice 747 56"
"Základní škola Kravaře - Kouty, příspěvková organizace","Bolatická 97 , Kravaře 747 21"
"Základní škola Ilji Hurníka Opava, Ochranova 6 - příspěvková organizace","Ochranova 1244 , Opava 746 01"
"Základní škola a Mateřská škola Velká Polom, příspěvková organizace","Opavská 350 , Velká Polom 747 64"
"Základní škola, Ostrava-Poruba, K. Pokorného 1382, příspěvková organizace","Karla Pokorného 1382 , Ostrava 708 00"
"Základní škola Ostrava - Petřkovice","Hlučínská 136 , Ostrava 725 29"
"Základní škola a mateřská škola Ostrava-Hošťálkovice, Výhledy 210, příspěvková organizace","Výhledy 210 , Ostrava 725 28"
"Základní škola a mateřská škola Ostrava-Hrabůvka, A. Kučery 20, příspěvková organizace","Alberta Kučery 1276 , Ostrava 700 30"
"Základní škola, Ostrava - Hrabová, Paskovská 46, příspěvková organizace","Paskovská 110 , Ostrava 720 00"
"Základní škola a mateřská škola Ostrava-Zábřeh, Kosmonautů, příspěvková organizace","Kosmonautů 2217 , Ostrava 700 30"
"Základní škola generála Zdeňka Škarvady, Ostrava-Poruba, příspěvková organizace","Porubská 831 , Ostrava 708 00"
"Základní škola, Ostrava-Poruba, Porubská 832, příspěvková organizace","Porubská 832 , Ostrava 708 00"
"Základní škola, Ostrava-Poruba, Bulharská 1532, příspěvková organizace","Bulharská 1532 , Ostrava 708 00"
"Základní škola, Ostrava-Poruba, Ukrajinská 1533, příspěvková organizace","Ukrajinská 1533 , Ostrava 708 00"
"Základní škola, Ostrava-Poruba, J. Šoupala 1609, příspěvková organizace","Jana Šoupala 1609 , Ostrava 708 00"
"Základní škola, Ostrava-Poruba, A. Hrdličky 1638, příspěvková organizace","Aleše Hrdličky 1638 , Ostrava 708 00"
"Základní škola, Ostrava-Poruba, I. Sekaniny 1804, příspěvková organizace","Ivana Sekaniny 1804 , Ostrava 708 00"
"Základní škola a Mateřská škola Ostrava-Krásné Pole, Družební 336, příspěvková organizace","Družební 336 , Ostrava 725 26"
"Základní škola a mateřská škola Polanka nad Odrou, příspěvková organizace","Heleny Salichové 816 , Ostrava 725 25"
"Základní škola a mateřská škola Ostrava-Svinov, příspěvková organizace","Bílovecká 10 , Ostrava 721 00"
"Waldorfská základní škola a střední škola, Ostrava-Poruba, příspěvková organizace","Ľudovíta Štúra 1085 , Ostrava 708 00"
"Základní škola Ostrava-Zábřeh, Jugoslávská 23, příspěvková organizace","Jugoslávská 2906 , Ostrava 700 30"
"Základní škola, Ostrava-Poruba, J. Valčíka 4411, příspěvková organizace","Josefa Valčíka 4411 , Ostrava 708 00"
"Základní škola a mateřská škola, Ostrava-Zábřeh, Horymírova 100, příspěvková organizace","Horymírova 2978 , Ostrava 700 30"
"Základní škola a mateřská škola Ostrava-Lhotka, příspěvková organizace","Těsnohlídkova 99 , Ostrava 725 28"
"Základní škola a Mateřská škola Ostrava - Proskovice, Staroveská 62, příspěvková organizace","Staroveská 66 , Ostrava 724 00"
"Základní škola Ostrava, Nádražní 117, příspěvková organizace","Nádražní 1217 , Ostrava 702 00"
"Waldorfská základní škola a mateřská škola Ostrava, příspěvková organizace","Na Mlýnici 611 , Ostrava 702 00"
"Základní škola a mateřská škola Ostrava-Bělský Les, B. Dvorského 1, příspěvková organizace","Bohumíra Dvorského 1049 , Ostrava 700 30"
"Základní škola Ostrava-Nová Bělá, Mitrovická 389, příspěvková organizace","Mitrovická 75 , Ostrava 724 00"
"Základní škola Ostrava, Matiční 5, příspěvková organizace","Matiční 1082 , Ostrava 702 00"
"Základní škola Ostrava, Gajdošova 9, příspěvková organizace","Gajdošova 388 , Ostrava 702 00"
"Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace","Krestova 1387 , Ostrava 700 30"
"Základní škola a mateřská škola Ostrava-Zábřeh, Volgogradská 6B, příspěvková organizace","Volgogradská 2600 , Ostrava 700 30"
"Základní škola Ostrava-Stará Bělá","Junácká 700 , Ostrava 724 00"
"Základní škola a mateřská škola Ostrava-Výškovice, Šeříková 33, příspěvková organizace","Šeříková 682 , Ostrava 700 30"
"Základní škola a mateřská škola Ostrava, Ostrčilova 10, příspěvková organizace","Ostrčilova 2557 , Ostrava 702 00"
"Základní škola Ostrava, Zelená 42, příspěvková organizace","Zelená 1406 , Ostrava 702 00"
"Základní škola Ostrava, Gebauerova 8, příspěvková organizace","Gebauerova 819 , Ostrava 702 00"
"Základní škola Slezská Ostrava, Bohumínská 72, příspěvková organizace","Bohumínská 1082 , Ostrava 710 00"
"Základní škola Slezská Ostrava, Pěší 1, příspěvková organizace","Pěší 66 , Ostrava 712 00"
"Základní škola Ostrava-Vítkovice, Šalounova 56, příspěvková organizace","Šalounova 394 , Ostrava 703 00"
"Základní škola Ostrava-Hrabůvka, Provaznická 64, příspěvková organizace","Provaznická 831 , Ostrava 700 30"
"Základní škola a mateřská škola, Ostrava-Hrabůvka, Mitušova 16, příspěvková organizace","Mitušova 1506 , Ostrava 700 30"
"Základní škola MUDr. Emílie Lukášové a Klegova, Ostrava-Hrabůvka, příspěvková organizace","Klegova 1169 , Ostrava 700 30"
"Základní škola a mateřská škola Ostrava-Zábřeh, Březinova 52, příspěvková organizace","Březinova 1383 , Ostrava 700 30"
"Základní škola Ostrava-Zábřeh, Chrjukinova 12, příspěvková organizace","Chrjukinova 1801 , Ostrava 700 30"
"Základní škola Ostrava - Výškovice, Srbská 2, příspěvková organizace","Srbská 450 , Ostrava 700 30"
"Základní škola, Ostrava-Poruba, Komenského 668, příspěvková organizace","Komenského 668 , Ostrava 708 00"
"Základní škola a mateřská škola Ostrava-Dubina, V. Košaře 6, příspěvková organizace","Václava Košaře 121 , Ostrava 700 30"
"Základní škola Ostrava-Dubina, Františka Formana 45, příspěvková organizace","Františka Formana 268 , Ostrava 700 30"
"Základní škola Ostrava, Gen. Píky 13A, příspěvková organizace","Gen. Píky 2975 , Ostrava 702 00"
"Základní škola Ostrava - Mariánské Hory, Gen. Janka 1208, příspěvková organizace","Gen. Janka 1208 , Ostrava 709 00"
"Základní škola Slezská Ostrava, Chrustova 24, příspěvková organizace","Chrustova 1418 , Ostrava 713 00"
"Základní škola Ostrava-Michálkovice, U Kříže 28, příspěvková organizace","U Kříže 166 , Ostrava 715 00"
"Základní škola, Ostrava-Poruba, Dětská 915, příspěvková organizace","Dětská 915 , Ostrava 708 00"
"Základní škola a mateřská škola Hranice, Šromotovo, příspěvková organizace","Šromotovo náměstí 177 , Hranice 753 01"
"Základní škola a mateřská škola Hranice, Struhlovsko, příspěvková organizace","Struhlovsko 1795 , Hranice 753 01"
"Základní škola a Mateřská škola Potštát, okres Přerov","Školní 76 , Potštát 753 62"
"Základní škola Přerov, Svisle 13","Svisle 133 , Přerov 750 02"
"Základní škola Přerov, Velká Dlážka 5","Velká Dlážka 914 , Přerov 750 02"
"Základní škola Přerov, U tenisu 4","U Tenisu 171 , Přerov 750 02"
"Základní škola Hranice, Tř. 1. máje, příspěvková organizace","Tř. 1. máje 357 , Hranice 753 01"
"Základní škola Hustopeče nad Bečvou, okres Přerov","Školní 223 , Hustopeče nad Bečvou 753 66"
"Základní škola a Mateřská škola Kokory","251 , Kokory 751 05"
"Základní škola a Mateřská škola Tovačov","Podvalí 353 , Tovačov 751 01"
"Základní škola a Mateřská škola Troubky","Dědina 10 , Troubky 751 02"
"Základní škola Želatovice, okres Přerov, příspěvková organizace","95 , Želatovice 751 16"
"Základní škola a mateřská škola Stará Ves, okres Přerov, příspěvková organizace","49 , Stará Ves 750 02"
"Základní škola a mateřská škola Hranice, příspěvková organizace","Hranická 100 , Hranice 753 61"
"Základní škola a Mateřská škola Lazníky, okres Přerov, příspěvková organizace","13 , Lazníky 751 25"
"Základní škola a Mateřská škola Prosenice, příspěvková organizace","Školní 49 , Prosenice 751 21"
"Základní škola a mateřská škola Skalička, okres Přerov, příspěvková organizace","109 , Skalička 753 52"
"Základní škola a mateřská škola Bochoř, příspěvková organizace","Školní 213 , Bochoř 750 02"
"Základní škola a Slaměníkova mateřská škola Radslavice, příspěvková organizace","Školní 5 , Radslavice 751 11"
"Základní škola a mateřská škola Všechovice, příspěvková organizace","88 , Všechovice 753 53"
"Základní škola J. A. Komenského a Mateřská škola, Přerov - Předmostí, Hranická 14","Hranická 425 , Přerov 751 24"
"Základní škola Přerov, Želatovská 8","Želatovská 2583 , Přerov 750 02"
"Základní škola a mateřská škola Jezernice, okres Přerov, příspěvková organizace","39 , Jezernice 751 31"
"Základní škola a Mateřská škola Soběchleby, příspěvková organizace","198 , Soběchleby 753 54"
"Základní škola Dolní Újezd a Mateřská škola Staměřice, příspěvková organizace","24 , Dolní Újezd 751 23"
"Základní škola a Mateřská škola Horní Moštěnice, příspěvková organizace","Pod Vinohrady 232 , Horní Moštěnice 751 17"
"Základní škola a Mateřská škola Jindřichov, okres Přerov, příspěvková organizace","122 , Jindřichov 753 01"
"Základní škola a Mateřská škola Osek nad Bečvou, okres Přerov","78 , Osek nad Bečvou 751 22"
