"nazev","adresa"
"Základní škola, Stříbro, Revoluční 1431","Revoluční 1431 , Stříbro 349 01"
"Základní škola a Mateřská škola, Tachov, Petra Jilemnického 1995","Petra Jilemnického 1995 , Tachov 347 01"
"Základní škola a Mateřská škola při dětské léčebně, Cvikov, Ústavní 531, příspěvková organizace","Ústavní 531 , Cvikov 471 54"
"Základní škola a Mateřská škola Klíč s.r.o.","Klášterní 2490 , Česká Lípa 470 01"
"Základní škola a Praktická škola Gabriely Pelechové, pobočný spolek","Vilémovská 192 , Dolní Poustevna 407 82"
"Speciální základní škola, Speciální mateřská škola a Praktická škola, Děčín, příspěvková organizace","Teplická 65 , Děčín 405 05"
"Speciální základní škola a Praktická škola, Česká Kamenice, Jakubské nám. 113, příspěvková organizace","Jakubské náměstí 113 , Česká Kamenice 407 21"
"Speciální základní škola a Praktická škola, Šluknov, Tyršova 710, příspěvková organizace","Tyršova 710 , Šluknov 407 77"
"Speciální základní škola, Mateřská škola a Praktická škola, Varnsdorf, T. G. Masaryka 1804, příspěvková organizace","T. G. Masaryka 1804 , Varnsdorf 407 47"
"Základní škola a Mateřská škola, Jablonec nad Nisou, Kamenná 404/4, příspěvková organizace","Kamenná 404 , Jablonec nad Nisou 466 01"
"Základní škola, Tanvald, Údolí Kamenice 238, příspěvková organizace","Údolí Kamenice 238 , Tanvald 468 41"
"Základní škola, Jablonec nad Nisou, Liberecká 1734/31, příspěvková organizace","Liberecká 1734 , Jablonec nad Nisou 466 01"
"Základní škola a mateřská škola logopedická, Liberec, příspěvková organizace","Elišky Krásnohorské 921 , Liberec 460 14"
"Základní škola a Mateřská škola pro tělesně postižené, Liberec, Lužická 920/7, příspěvková organizace","Lužická 920 , Liberec 460 01"
"Základní škola ALVALÍDA, s.r.o.","Hanychovská 743 , Liberec 460 07"
"Speciální základní škola, Štětí, Ostrovní 300, příspěvková organizace","Ostrovní 300 , Štětí 411 08"
"Základní škola praktická, Roudnice nad Labem, Neklanova 1807, příspěvková organizace","Neklanova 1807 , Roudnice nad Labem 413 01"
"Základní škola při Dětské psychiatrické nemocnici, Louny, příspěvková organizace","Pod Nemocnicí 2503 , Louny 440 01"
"Dětský domov, Základní škola a Střední škola, Žatec, příspěvková organizace","Pražská 808 , Žatec 438 01"
"Logopedická základní škola, Měcholupy 1, příspěvková organizace","1 , Měcholupy 439 31"
"Základní škola speciální a Praktická škola Litvínov, Šafaříkova 991, okres Most","Šafaříkova 991 , Litvínov 436 01"
"Základní škola profesora Zdeňka Matějčka, Most, Zdeňka Štěpánka 340, příspěvková organizace","Zdeňka Štěpánka 340  , Most 434 01"
"Základní škola a Střední škola, Most, Jana Palacha 1534, příspěvková organizace","Jana Palacha 1534 , Most 434 01"
"Základní škola a Mateřská škola, Teplice, U Červeného kostela 110, příspěvková organizace","U Červeného kostela 110 , Teplice 415 01"
"Základní škola praktická, Bílina, Kmochova 205/10, příspěvková organizace","Kmochova 205 , Bílina 418 01"
"Speciální základní škola a Speciální mateřská škola, Teplice, Trnovanská 1331, příspěvková organizace","Trnovanská 1331 , Teplice 415 01"
"Dětský domov, Základní škola a Střední škola, Duchcov, příspěvková organizace","Školní 624 , Duchcov 419 01"
"Základní škola praktická Teplice, s.r.o.","Krušnohorská 1570 , Teplice 415 01"
"Základní škola a praktická škola Arkadie, o.p.s.","U Nových lázní 1286 , Teplice 415 01"
"Speciální základní škola a Praktická škola, Ústí nad Labem, Pod Parkem 2788, příspěvková organizace","Pod Parkem 2788 , Ústí nad Labem 400 11"
"Základní škola a Praktická škola Chotěboř","Hradební 529 , Chotěboř 583 01"
"Základní škola a Praktická škola,  U Trojice 2104, Havlíčkův Brod","U Trojice 2104 , Havlíčkův Brod 580 01"
"Základní škola a Mateřská škola při zdravotnických zařízeních Kraje Vysočina","Purkyňovo nám. 133 , Třebíč 674 01"
"Základní škola a Mateřská škola při Fakultní nemocnici, Hradec Králové, Sokolská 581","Sokolská 581 , Hradec Králové 500 03"
"Mateřská škola, základní škola a střední škola Daneta, s.r.o.","Nerudova 1180 , Hradec Králové 500 02"
"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.","Hrubínova 1458 , Hradec Králové 500 02"
"Mateřská škola, Speciální základní škola a Praktická škola, Hradec Králové","Hradecká 1231 , Hradec Králové 500 03"
"Základní škola, Nový Bydžov, F. Palackého 1240","F. Palackého 1240 , Nový Bydžov 504 01"
